source,target,value
Amitabh Bachchan,Madhuri Dixit,1
Amitabh Bachchan,Gulshan Grover,8
Amitabh Bachchan,Rekha,17
Amitabh Bachchan,Hrithik Roshan,5
Amitabh Bachchan,Kajol,2
Amitabh Bachchan,Dharmendra,12
Amitabh Bachchan,Sridevi,4
Amitabh Bachchan,Juhi Chawla,5
Amitabh Bachchan,Hema Malini,20
Amitabh Bachchan,Sanjay Dutt,13
Amitabh Bachchan,Kareena Kapoor,5
Amitabh Bachchan,Karisma Kapoor,3
Amitabh Bachchan,Preity G Zinta,6
Amitabh Bachchan,Jackie Shroff,8
Amitabh Bachchan,Salman Khan,4
Amitabh Bachchan,Tabu,3
Amitabh Bachchan,Shakti Kapoor,13
Amitabh Bachchan,Urmila Matondkar,1
Amitabh Bachchan,Nana Patekar,1
Amitabh Bachchan,Sonali Bendre,1
Amitabh Bachchan,Fardeen Khan,2
Amitabh Bachchan,Aftab Shivdasani,3
Amitabh Bachchan,Tinnu Anand,7
Amitabh Bachchan,Raj Babbar,1
Amitabh Bachchan,Aruna Irani,19
Amitabh Bachchan,Abhishek Bachchan,15
Amitabh Bachchan,Mohnish Behl,3
Amitabh Bachchan,Manoj Bajpayee,7
Amitabh Bachchan,Bipasha Basu,5
Amitabh Bachchan,Jaya Bachchan,16
Amitabh Bachchan,Mithun Chakraborty,7
Amitabh Bachchan,Mahima Chaudhry,1
Amitabh Bachchan,Bhoomika Chawla,3
Amitabh Bachchan,Randhir Kapoor,3
Amitabh Bachchan,Nandita Das,1
Amitabh Bachchan,Danny Denzongpa,12
Amitabh Bachchan,Bobby Deol,2
Amitabh Bachchan,Sunny Deol,3
Amitabh Bachchan,Mukul Dev,1
Amitabh Bachchan,Rahul Dev,1
Amitabh Bachchan,Prabhu Deva,3
Amitabh Bachchan,Ajay Devgn,11
Amitabh Bachchan,Poonam Dhillon,4
Amitabh Bachchan,Avtar Gill,16
Amitabh Bachchan,Vikram Gokhale,6
Amitabh Bachchan,Govinda,4
Amitabh Bachchan,Milind Gunaji,2
Amitabh Bachchan,Kamal Haasan,3
Amitabh Bachchan,Vrajesh Hirjee,3
Amitabh Bachchan,Randeep Hooda,1
Amitabh Bachchan,Jaaved Jaaferi,2
Amitabh Bachchan,Farida Jalal,14
Amitabh Bachchan,Jaya Prada,9
Amitabh Bachchan,Jeetendra,2
Amitabh Bachchan,Kader Khan,27
Amitabh Bachchan,Dimple Kapadia,5
Amitabh Bachchan,Anil Kapoor,4
Amitabh Bachchan,Annu Kapoor,5
Amitabh Bachchan,Rajat Kapoor,1
Amitabh Bachchan,Rishi Kapoor,7
Amitabh Bachchan,Supriya Karnik,1
Amitabh Bachchan,Aamir Khan,2
Amitabh Bachchan,Arbaaz Khan,2
Amitabh Bachchan,Arshad Warsi,3
Amitabh Bachchan,Irrfan Khan,1
Amitabh Bachchan,Saif Ali Khan,3
Amitabh Bachchan,Shah Rukh Khan,8
Amitabh Bachchan,Sohail Khan,2
Amitabh Bachchan,Akshaye Khanna,1
Amitabh Bachchan,Mukesh Khanna,1
Amitabh Bachchan,Vinod Khanna,9
Amitabh Bachchan,Kulbhushan Kharbanda,9
Amitabh Bachchan,Sachin Khedekar,3
Amitabh Bachchan,Anupam Kher,16
Amitabh Bachchan,Manisha Koirala,2
Amitabh Bachchan,Isha Koppikar,3
Amitabh Bachchan,Atul Kulkarni,3
Amitabh Bachchan,Akshay Kumar,8
Amitabh Bachchan,Johny Lever,7
Amitabh Bachchan,Madhavan,1
Amitabh Bachchan,Pawan Malhotra,1
Amitabh Bachchan,Sanjay Mishra,5
Amitabh Bachchan,Rani Mukerji,8
Amitabh Bachchan,Govind Namdeo,4
Amitabh Bachchan,Nassar,3
Amitabh Bachchan,Neelam Kothari,2
Amitabh Bachchan,Manoj Pahwa,2
Amitabh Bachchan,Chunky Pandey,3
Amitabh Bachchan,Prakash Raj,4
Amitabh Bachchan,Amrish Puri,20
Amitabh Bachchan,Om Puri,6
Amitabh Bachchan,Vijay Raaz,5
Amitabh Bachchan,Aishwarya Rai Bachchan,7
Amitabh Bachchan,Rajinikanth,4
Amitabh Bachchan,Paresh Rawal,11
Amitabh Bachchan,Fatima Sana Shaikh,3
Amitabh Bachchan,Raima Sen,4
Amitabh Bachchan,Sushmita Sen,3
Amitabh Bachchan,Naseeruddin Shah,4
Amitabh Bachchan,Farooq Shaikh,3
Amitabh Bachchan,Kim Sharma,1
Amitabh Bachchan,Rajesh Sharma,5
Amitabh Bachchan,Jimmy Shergill,2
Amitabh Bachchan,Shilpa Shetty Kundra,1
Amitabh Bachchan,Suniel Shetty,6
Amitabh Bachchan,Saurabh Shukla,2
Amitabh Bachchan,Chandrachur Singh,1
Amitabh Bachchan,Neetu Singh,9
